problem,function,instance,dimension,seed,mode,popsize,baseline_best,pass_proposal_f,first_f,best_h1,best_h10,best_h50,best_h400,mean_shift_generation,sigma_ratio_generation,trace_ratio_generation,condition_ratio_generation,sigma_ratio_final,trace_ratio_final
bbob_f003_i80_d20,3,80,20,1,direct,12,208.16640027478005,,276.83901510173234,208.16640027478005,208.16640027478005,208.16640027478005,164.8156833151843,1.390279790707472,0.962418687225038,0.9954605782277255,1.0481365201354245,0.5874768257105216,0.9446875591830356
bbob_f003_i80_d20,3,80,20,1,inject,12,208.16640027478005,,276.83901510173234,208.16640027478005,208.16640027478005,204.9665119228053,167.2592307026335,1.4521776770337287,0.9670926171238904,0.9955714070235602,1.0447842698908691,0.35779637432837136,0.9383246648978782
bbob_f003_i80_d20,3,80,20,2,pass,12,242.23465423870954,294.17744435289114,294.17744435289114,242.23465423870954,242.23465423870954,212.84376593343436,174.40312423614685,1.3130377521893497,0.9695489774904582,0.9959692274576211,1.02169396892386,0.583088962112691,0.9439415207380498
bbob_f003_i80_d20,3,80,20,2,direct,12,242.23465423870954,,255.11540134291445,242.23465423870954,242.23465423870954,225.38066474695037,214.3898045504446,1.1378623317266385,0.9521334901223584,0.9949129146294428,1.0258660344623436,0.5056057236568859,0.9418802125411747
bbob_f003_i80_d20,3,80,20,2,inject,12,242.23465423870954,,255.11540134291445,242.23465423870954,242.23465423870954,219.81112772830986,165.29801722497535,1.1378623317266385,0.9521334901223584,0.9943800988515925,1.024340383164392,0.4884160571317146,0.9395718190488537
bbob_f003_i80_d20,3,80,20,3,pass,12,243.06996277712548,356.2603040227625,356.2603040227625,243.06996277712548,243.06996277712548,233.308092372652,157.94150742708874,1.5686474467305684,0.984989440801378,0.9994461466841866,1.0168052075494365,0.4669271063279536,0.9362548314604441
bbob_f003_i80_d20,3,80,20,3,direct,12,243.06996277712548,,351.73115583153503,243.06996277712548,243.06996277712548,243.06996277712548,205.78423105965416,1.5686474467305684,0.984989440801378,0.9993816133698977,1.016504122559956,0.5554038005924558,0.9543927348176974
bbob_f003_i80_d20,3,80,20,3,inject,12,243.06996277712548,,351.73115583153515,243.06996277712548,243.06996277712548,243.06996277712548,180.3962164434468,1.5686474467305684,0.984989440801378,0.99943329043392,1.0172657389103337,0.5686518255200521,0.9398683529340172
bbob_f004_i79_d20,4,79,20,0,pass,12,347.4298198761105,541.9532154219447,541.9532154219447,347.4298198761105,347.4298198761105,347.4298198761105,266.7835321547899,1.289917628467489,0.9384820822398517,0.9965276890991764,1.0161057186088103,0.44816775511513884,0.9407815286738932
bbob_f004_i79_d20,4,79,20,0,direct,12,347.4298198761105,,454.33176724785824,347.4298198761105,347.4298198761105,304.51708685940184,304.51708685940184,1.297733503940169,0.9416651262723924,0.9964287294365003,1.0178883043222728,0.45707028333631644,0.9442101901705928
bbob_f004_i79_d20,4,79,20,0,inject,12,347.4298198761105,,454.33176724785824,347.4298198761105,347.4298198761105,347.4298198761105,337.33849110199844,1.3081580017176653,0.9420189621393181,0.9964158284042177,1.0161926737585034,0.61984410774678,0.9565250017365247
bbob_f004_i79_d20,4,79,20,1,pass,12,420.38275252024187,569.000753294148,569.000753294148,420.38275252024187,420.38275252024187,405.35290635009574,302.12073761231125,1.3825397272912845,0.9758341220657271,0.9954390153903455,1.0140287700898338,0.42497356215721793,0.9387337894327404
bbob_f004_i79_d20,4,79,20,1,direct,12,420.38275252024187,,484.6143385615982,420.38275252024187,420.38275252024187,366.1367869915493,311.73880885567485,1.3721495352290558,0.9796575362056565,0.9952647868348374,1.0153231246222059,0.5298607371044335,0.9367602196809638
bbob_f004_i79_d20,4,79,20,1,inject,12,420.38275252024187,,484.6143385615983,420.38275252024187,420.38275252024187,409.22461233193053,264.030565609491,1.3721495352290558,0.9796575362056565,0.995160322695976,1.0117255017423432,0.29376409954305865,0.9148728172799168
bbob_f004_i79_d20,4,79,20,2,pass,12,408.1075594177936,471.26520092609223,471.26520092609223,408.1075594177936,408.1075594177936,408.1075594177936,315.5532263635042,1.578575527358524,0.9598972877185734,0.997891957879085,1.0230249933795243,0.5548495632267638,0.9442823652337365
bbob_f004_i79_d20,4,79,20,2,direct,12,408.1075594177936,,449.91206460364094,408.1075594177936,408.1075594177936,383.78177832770336,315.5482464276094,1.628329072834183,0.9637595709081193,0.9968540812276875,1.0197469859327764,0.4878148228941049,0.9352690667780398
bbob_f004_i79_d20,4,79,20,2,inject,12,408.1075594177936,,449.91206460364094,408.1075594177936,408.1075594177936,408.1075594177936,312.45057136886226,1.4722485056246646,0.9325429526454939,0.9952916753578211,1.020644781936085,0.6248854887866051,0.9501890035158355
bbob_f004_i79_d20,4,79,20,3,pass,12,415.17667972101833,456.48730576237745,456.48730576237745,415.17667972101833,415.17667972101833,394.9617964291069,283.27899131066044,1.7939782872315977,0.9861713907948207,0.9986916285030402,1.0279914951499831,0.35205015114036575,0.9248928761430713
bbob_f004_i79_d20,4,79,20,3,direct,12,415.17667972101833,,398.8633119278013,398.8633119278013,398.8633119278013,374.13598394130725,319.69857388538435,1.6795576106676053,0.9933372654185175,0.9974458875538605,1.0279286584944376,0.43080281057376435,0.9301228339791447
bbob_f004_i79_d20,4,79,20,3,inject,12,415.17667972101833,,398.8633119278013,398.8633119278013,398.8633119278013,343.68148899743176,310.2945941013529,2.0228871273524947,0.9964708781641061,0.9971799736139042,1.0316308911336367,0.3165162870824012,0.9025126510831201
bbob_f004_i80_d20,4,80,20,0,pass,12,344.38077222608695,455.5337766342956,455.5337766342956,344.38077222608695,344.38077222608695,333.2250213359853,223.34322741693626,1.712101289712801,0.983479841479297,0.9983175866954194,1.0004064194065994,0.6329675331783975,0.9517059373466884
bbob_f004_i80_d20,4,80,20,0,direct,12,344.38077222608695,,383.9674612733635,344.38077222608695,344.38077222608695,344.38077222608695,215.28226384902578,1.6742430127197214,0.9803872142507932,0.9975465638620593,1.001959639456746,0.4908118272667085,0.9373996848165211
bbob_f004_i80_d20,4,80,20,0,inject,12,344.38077222608695,,383.9674612733635,344.38077222608695,344.38077222608695,344.38077222608695,248.53535222418807,1.7598223376076338,0.9861575478068546,0.9982077125426989,1.003820385930371,0.5585081948533042,0.9436320197113576
bbob_f004_i80_d20,4,80,20,1,pass,12,283.0768287049052,401.7817565303743,401.7817565303743,283.0768287049052,283.0768287049052,281.71758530894334,235.10175189132855,1.5676109561736087,0.9514361395462483,0.9955900819917572,1.0172439916933824,0.5039861612599982,0.9568168554600549
bbob_f004_i80_d20,4,80,20,1,direct,12,283.0768287049052,,355.02742726839415,283.0768287049052,283.0768287049052,283.0768287049052,231.84856305397943,1.4747265624664432,0.9531644118253741,0.994590016629925,1.0206007452542587,0.5302883134367293,0.9303414558603639
